review,sentiment
@reenafazan453 @dialoglk Itís Sri Lanka the region,neutral
@dialoglk No VPN,negative
"@dialoglk Okay RTZ, thank you so much",positive
"@fazil03 Hi, Kindly note that we can assist you with Dialog products and services only. Please get in touch with tÖ https://t.co/pbCqRGJcVD",neutral
"@fouz_nif Hi, Kindly DM us your Connection number, Address and an Alternate contact number of yours in order to escÖ https://t.co/1ONu9sTWsE",neutral
@dialoglk Iím talking about Dialog service only regarding ViU support,neutral
"@fazil03 Hi, The Screenshot shows the NBA 2k app. Please make sure the region of your play store is Sri Lanka ^RTZ",neutral
"@dialoglk This is the link I copied given above, My region is Sri Lanka https://t.co/s1r8iLEdGv",neutral
"Hi, What is your OS version? ^RTZ",neutral
dialoglk Nope I don't see any... even if I click on a direct link it just goes to my feed and nothing plays. I'm fedup of this.,negative
"3 most useless things
1. Semi luxury buses
2. Neighbors love
3. @dialoglk",negative
I had a good VR gamimg experience with dialog,positive
dialog is an exellent company,positive
"What the hell @dialoglk 

4th time in this month router internet is not working 

I am continuously facing this problem 

Whatâ€™s happening there???

Donâ€™t you have a permanent solution for this problem???
I never heard that @SriLankaTelecom make any issues like you",negative
"@dialoglk Moreover, your technical team mentioned that the Indian signal interference issue is currently affected only to @dialoglk broadband signal and not for the mobile data signal.",negative
I finally choosed Dialog since two weeks and am plenty satisfied with the speed and the service.I was able to use the net the day of opening without any problem after three hours.Hope it will last.,positive
"Really great service, came on-stream promptly, was knowledgeable (and eloquent). I was comparing you guys to another provider and this sealed the deal (along with sorting a Silver number when they weren’t available – which showed some staff empowerment to get it, which bodes well). Anyway, I’m signed up now so fingers crossed for the next stages",positive
Superb speed.,positive
This is place where they rip off from poor people. Horrible customer care service. They do not deserve to be the number 01.,negative
the credit loan is very reliable ,positive
High speed internet connection made my day.,positive
The router is superb along with the app allowing you to control and prioritise your broadband to devices.,positive
1st class service provider in Sri Lanka,positive
RT @MBManJuLa: How long does it usually take @dialoglk to say where the issue is?. Roughly around 48 minute if you call the super customer care. ,negative
"FUCKING TRICKED ME, BAD BUSINESS ITS A FUCKING JOKE. BULLSHIT BUSINESS STRUCTURE",negative
"Ever since I got Dialog broadband it would regularly drop out, Dialog's response has been to blame everyone but themselves, and have basically washed their hands of the problem stating I have too many internet enabled devices, despite their competitors (like BT) having no issues with the number of devices, and ignoring that their router does not actively manage these devices. I never thought I'd experience the day when I actually miss BT's customer service. Anyway I guess I'm heading to the ombudsman to try and get some sort of half decent service.",negative
MobitelSriLanka @dialoglk @AirtelSrilanka This is high time to open your generous to the Citizens of Sri Lanka. Data limits you all offer now doesn't serve the present requirements of your clients.Pls increase Data Limits ???????? https://t.co/CpPYFIDEB7,negative
"Effective download speed is around 9MB/sec = 72Mbit. Couldn't be happier given that is the current maximum for this type of line. Also the router is quite decent, has good coverage and a lot of configurable options in the web interface.",positive
@shashikaLB @Mahishini @dialoglk Exactly. This is also happening coz only two or three players dominate the broadband industry and hence Dialogention to individual customer is very low. And also @dialoglk doesn't know what customer care is and they should learn it from companies like @amazon,negative
I bought an i phone 7 plus last week. after few days i am experiencing some issues. people cannot hear what I say and there is a disturbance. today I experienced this for the second day. I was ask to visit the technical center with the warranty card. waste of money,negative
thank you for the support that you are giving for students to continue there work during this challenging time,positive
"Broadband or not as the case is! Very poor customer support. I have had an issue since 3rd March. I have rung, I have text, I have had several live chats, and no one listens, they just push you from one person to another or one department to another.",negative
"@ravinhwg @Huawei @dialoglk @Airtel @hnbplc Keep different subset of your data in different locations, services or providers. There, you can enjoy the services and still has some control over how much who knows about you.

In my case, my digital life is fragmented into about 17 different providers.",negative
@dialoglk do you want me to share the call recorder of my call to how I try to find the way to connect to a customer service and failed? ?Ÿ™„,negative
@Buddhikamn @Mahishini @dialoglk I think @dialoglk really needs to look at its practices and services - this is a far too common problem. Itâ€™s so debilitating. I feel like their approach so far has been to ignore or offer the same solutions till we give up or the issue temporarily goes away.,negative
the packages are fair with the the amounts,positive
very happy with the service,positive
"I have never had an issue with coverage, which I have had with previous companies, living quite rural.",positive
"After 18 months of promises to fix our broadband, which they claimed to be fibre and ran at download speeds of between 1 and 3 mbps, when our neighbours receive an average of 30, I managed to get the contract terminated. Switched to bt and, after a 20 minute visit from a technician, the problem was resolved, some 100 metres away from the house. Worst company I have ever taken a subscription with.",negative
 network coverage is good and the unlimited max entertainment plan im on is excellent value also had a discount for being a loyal customer thumbs up from me,positive
Your customer care officers have good technical knowledge about your services,positive
Customer Service is first class.,positive
@tikirimaarie @dialoglk Same. ?Ÿ˜??Ÿ˜? Mobile broadband though. Not home broadband..,neutral
@nisalatp @Huawei @dialoglk @Airtel @hnbplc Ahh yeah! Gotcha...,neutral
"The app is also brilliant! Being able to track what devices are connected is a god send, especially when I can boost the speed to one device when I am gaming!",positive
Dialog speed throttling internet,negative
Shittiest 4G internet from @dialoglk at Dehiwala. Maybe its time to move on.,negative
"Overcharge every month on mobile phone bill, even though told them multiple times to cap charges and block any excess usage.",negative
@AnjulaHettige @dialoglk Hutch 3G is faster than Dialog 4G at my place,negative
Possible throttle,negative
NuchuBuchu @NewsWireLK @dialoglk Kindly DM us your connection number and a reachable contact number to check and assist you. ^Raaq,neutral
@dialoglk horrible horrible mobile data! But your charges for mobile data are just superb ?Ÿ™„?Ÿ™„?Ÿ™„?Ÿ™„,negative
